"wccSubjectCode","wccCourseNumber","wccCourseName","concordiaSubjectCode","concordiaCourseNumber","concordiaCourseName"
"ACC","111","Principles of Accounting I","ACCT","2100","Financial Accounting"
"ACC","122","Principles of Accounting II","ACCT","2200","Managerial Accounting"
"ACC","213","Intermediate Accounting","ACCT","3100","Intermediate Accounting I"
"ACC","225","Managerial Cost Accounting","ACCT","3250","Cost Accounting"
"ACS","101","Academic Skills Sem - Math","TRAN","1","Transfer Credits"
"ACS","107","College Reading & Study Skills","TRAN","1","Transfer Credits"
"ACS","108","Prob/Crit Thinking","TRAN","1","Transfer Credits"
"ACS","111","First Year Experience Seminar","TRAN","1","Transfer Credits"
"ACS","122","Career Decision Making","TRAN","1","Transfer Credits"
"ACS","151","Academic and Career Success","TRAN","1","Transfer Credits"
"ANI","145","Concept Development for Animat","TRAN","1","Transfer Credits"
"ANI","150","3d Animation I: Modeling","TRAN","1","Transfer Credits"
"ANT","201","Cultural Anthropology","TRAN","1","Transfer Credits"
"ANT","202","Intro to Physical Anthropology","TRAN","1","Transfer Credits"
"ANT","205","Intro to Archaeology","TRAN","1","Transfer Credits"
"ANT","245","Biological Anthropology","BIO","299X","Biology Elective Transfer"
"ANT","265","Intro Forensic Anthropology","TRAN","1","Transfer Credits"
"ANT","290","International Stud Anthropolgy","TRAN","1","Transfer Credits"
"ARB","111","First Year Arabic I","TRAN","113","Language Culture Core"
"ARB","111","First Year Arabic I","TRAN","1","Transfer Credits"
"ARB","122","First Year Arabic II","TRAN","113","Language Culture Core"
"ARB","122","First Year Arabic II","TRAN","1","Transfer Credits"
"ART","101","Introduction to Studio Art","ART","1510","Observational Drawing"
"ART","108","Three-Dimensional Design","ART","199X","Art Transfer Elective"
"ART","111","Basic Drawing I","ART","1510","Observational Drawing"
"ART","111","Basic Drawing I","TRAN","1","Transfer Credtis"
"ART","112","Basic Design I","TRAN","110","Creative Arts Core"
"ART","112","Basic Design I","TRAN","1","Transfer Credits"
"ART","114","Painting I","ART","199X","Art Transfer Elective"
"ART","121","Ceramics I","ART","1050","Ceramic Fundamentals"
"ART","121","Ceramics I","TRAN","1","Transfer Credits"
"ART","130","Art Appreciation","TRAN","110","Creative Arts Core"
"ART","143","African American Art & Culture","TRAN","110","Creative Arts Core"
"ART","150","Monuments and Cultures","TRAN","110","Creative Arts Core"
"AST","100","Backyard Astronomy","TRAN","1","Transfer Credits"
"AST","111","General Astronomy","TRAN","1","Transfer Credits"
"ASV","130","Automotive Maintenance","TRAN","1","Transfer Credits"
"ASV","151","Automotive Service I","TRAN","1","Transfer Credits"
"AUD","170","Introduction to Audio Tech","TRAN","1","Transfer Credits"
"AUD","175","Digital Audio Workstations","TRAN","1","Transfer Credits"
"BIO","101","Concepts of Biology","BIO","1000","Principles of Biology"
"BIO","102","Human Biology + Lab","TRAN","105","Science Core"
"BIO","104","Biology of Exercise","TRAN","105","Science Core"
"BIO","107","Intro to Field Biology","TRAN","1","Transfer Credits"
"BIO","109","Ess Human Anat & Physio & Lab","TRAN","105","Science Core"
"BIO","110","Introduction to Exercise Scien","HHP","2202","Introduction to Kinesiology"
"BIO","111","Anat/Phys - Norm Struct & Func","BIO","1801","Human Anat & Phys I"
"BIO","111","Anat/Phys - Norm Struct & Func","TRAN","1","Transfer Credit"
"BIO","142","Fund Nutrit, Exer, & Wght","HHP","3342","Nutrition Wellness/Perform"
"BIO","147","Hospital Microbiology","TRAN","1","Transfer Credits"
"BIO","161","Gen Bio I Ecology & Evolution","TRAN","105","Science Core"
"BIO","162","Gen Bio II Cells and Molecules","TRAN","105","Science Core"
"BIO","201","Physiology of Exercise","HHP","371","Exercise Physiology"
"BIO","201","Physiology of Exercise","TRAN","1","Transfer Credits"
"BIO","208","Genetics","BIO","3400","Genetics"
