"wccSubjectCode","wccCourseNumber","wccCourseName","emuSubjectCode","emuCourseNumber","emuCourseName"
"ABR","264","Spec Tpcs Adv Metal Shaping II","SET","000","General Transfer Credit"
"ABR","274","ABR Co-op Education II","AACR","GEN","General Credit"
"ACC","100","Accounting Practices for Busn","AACR","GEN","General Credit"
"ACC","101","Fundamentals of Accounting II","ACC","130","Acct for Non-Bus Majors"
"ACC","110","Payroll Accounting","ACC","000","General Transfer Credit"
"ACC","111","Principles of Accounting I","ACC","240","Principles of Financial Acct"
"ACC","122","Principles of Accounting II","ACC","241","Principles of Managerial Acct"
"ACC","131","Quickbooks Software","AACR","GEN","General Credit"
"ACC","174","ACC Co-op Education I","AACR","GEN","General Credit"
"ACC","200","Tax Prep:Personal & Small Busn","ACC","244","Personal Tax Accounting"
"ACC","213","Intermediate Accounting I","ACC","000","General Transfer Credit"
"ACC","214","Intermediate Accounting II","ACC","000","General Transfer Credit"
"ACC","220","Financial Plan, Budget, Contrl","ACC","000","General Transfer Credit"
"ACC","225","Managerial Cost Accounting","ACC","000","General Transfer Credit"
"ACC","230","Financial Stmnt Anlys/Non-Acct","AACR","GEN","General Credit"
"ACC","274","ACC Co-op Education II","AACR","GEN","General Credit"
"ACS","110","Speed Reading","AACR","GEN","General Credit"
"ACS","111","College Success Seminar","AACR","GEN","General Credit"
"ACS","115","Medical Terminology","AHPR","200","Medical Terminology"
"ACS","121","Career Planning Seminar","AACR","GEN","General Credit"
"ACS","122","Career Decision Making","AACR","GEN","General Credit"
"ACS","123","Information Literacy","AACR","GEN","General Credit"
"ACS","150","Academic Skills/Health Science","AACR","GEN","General Credit"
"ACS","151","Studnt Success:In&Beyond Class","AACR","GEN","General Credit"
"ACS","179","Family Literacy","AACR","GEN","General Credit"
"AMS","103","Materials and Processes","PDD","111","Materials"
"AMS","104","Rapid Prototyping & Methods","MFG","000","General Transfer Credit"
"AMS","105","Lean Manufacturing Methods","MFG","000","General Transfer Credit"
"AMS","204","Innovations Application","MFG","000","General Transfer Credit"
"AMS","205","Build Concept Prototype","MFG","000","General Transfer Credit"
"ANI","145","Concept Dev for Animation","SAG","245","Story Development"
"ANI","150","3D Animation I: Modeling","SAG","175","Graphics for Simulation I"
"ANI","155","Texture&Studio Light/Animation","SAGS","275","Texturing and Mapping"
"ANI","160","Fundmntls Movement/Animation","SAGS","255","SAG Movement"
"ANI","160","Fundmntls Movement/Animation","SAGA","295","Organic Rigging"
"ANI","250","Organic Modeling & Rigging","SAGS","255","SAG Movement"
"ANI","250","Organic Modeling & Rigging","SAGA","295","Organic Rigging"
