"wccSubjectCode","wccCourseNumber","wccCourseName","umSubjectCode","umCourseNumber","umCourseName"
"ACC","110","Payroll Accounting","ACC","101X","Departmental"
"ACC","111","Principles of Accounting","ACC","101X","Departmental"
"ACC","122","Principles of Accounting II","ACC","101X","Departmental"
"ACC","213","Intermediate Accounting I","ACC","201X","Departmental"
"ANI","145","Concept Development for Animat","ARTDES","101X","Departmental"
"ANI","150","3D Animation I: Modeling","FTVM","304","Topics in Med Prod I"
"ANI","155","Textures & Studio Lighting Ani","ARTDES","101X","Departmental"
"ANI","160","Fund. of Movement & Animation","ARTDES","101X","Departmental"
"ANI","230","Motion and Sound","ARTDES","243","Intro to Animation"
"ANI","235","Compositing and VFX","ARTDES","201X","Departmental"
"ANI","250","Organic Modeling and Rigging","ARTDES","301X","Departmental"
"ANI","259","ANIMATION","ARTDES","201X","Departmental"
"ANI","260","3D Animation III","FTVM","306","An & Dig Med Prac I"
"ANT","201","Intro to Cultural Anthropology","ANTHRCUL","101","Intro Anthro"
"ANT","202","Intro to Physical Anthropology","ANTHRBIO","201","How Humans Evolved"
"ANT","205","Introduction to Archaeology","ANTHRARC","201X","Departmental"
"ANT","245","BIOLOGICAL ANTHROPOLOGY","ANTHRBIO","201X","Departmental"
"ANT","250","ARCHAEOLOGICAL FIELD METHODS","ANTHRARC","201X","Departmental"
"ANT","265","Intro to Forensic Anthro","ANTHRBIO","201X","Departmental"
"ANT","290","International Studies in Anthr","ANTHRCUL","201X","Departmental"
"ARB","111","First Year Arabic I","ARABIC","101X","Departmental"
"ARB","122","First Year Arabic II","ARABIC","101X","Departmental"
"ART","101","Introduction to Studio Art","ARTDES","101X","Departmental"
"ART","102","Color","ARTDES","275","Color"
"ART","108","Three-Dimensional Design","ARTDES","120","Studio: 3D"
"ART","111","Basic Drawing I","ARTDES","100","Drawing: Observation"
"ART","112","Basic Design I","ARTDES","115","Studio: 2D"
"ART","114","Painting I","ARTDES","205","Intro to Painting"
